Aired,Aired
2000-07-11,7/11/2000
2004-10-06,10/6/2004
2004-04-02,4/2/2004
2002-04-02,4/2/2002
2003-07-24,7/24/2003
2005-04-09,4/9/2005
2003-05-20,5/20/2003
2002-08-06,8/6/2002
2000-10-03,10/3/2000
2001-10-05,10/5/2001
1996-04-02,4/2/1996
2002-05-06,5/6/2002
2005-01-06,1/6/2005
1998-04-19,4/19/1998
1999-10-15,10/15/1999
2001-01-13,1/13/2001
1998-09-25,9/25/1998
2000-04-19,4/19/2000
2002-01-26,1/26/2002
2000-12-25,12/25/2000
2001-04-02,4/2/2001
2003-10-14,10/14/2003
2002-12-21,12/21/2002
2002-01-10,1/10/2002
2003-07-15,7/15/2003
2002-04-03,4/3/2002
2005-04-08,4/8/2005
2001-07-20,7/20/2001
2002-04-06,4/6/2002
1992-03-27,3/27/1992
2003-01-07,1/7/2003
1999-08-25,8/25/1999
2004-01-09,1/9/2004
2004-05-20,5/20/2004
1998-04-01,4/1/1998
1990-06-30,6/30/1990
2001-05-23,5/23/2001
2003-09-01,9/1/2003
1989-04-15,4/15/1989
2001-09-25,9/25/2001
1986-06-21,6/21/1986
1997-10-24,10/24/1997
1998-10-23,10/23/1998
1999-12-18,12/18/1999
2002-10-19,10/19/2002
1994-10-21,10/21/1994
1996-10-01,10/1/1996
1998-08-01,8/1/1998
1999-10-29,10/29/1999
2000-05-25,5/25/2000
2004-01-04,1/4/2004
1986-02-26,2/26/1986
1996-02-07,2/7/1996
2004-07-25,7/25/2004
2000-04-26,4/26/2000
2005-10-05,10/5/2005
2004-07-10,7/10/2004
2003-04-02,4/2/2003
2002-07-04,7/4/2002
1998-04-07,4/7/1998
2000-03-28,3/28/2000
2004-04-03,4/3/2004
1996-01-08,1/8/1996
2003-04-01,4/1/2003
2005-04-17,4/17/2005
1997-07-19,7/19/1997
2004-10-06,10/6/2004
2004-10-10,10/10/2004
2004-07-05,7/5/2004
2004-01-06,1/6/2004
2000-10-04,10/4/2000
2004-07-04,7/4/2004
1999-06-30,6/30/1999
2001-10-13,10/13/2001
2004-10-06,10/6/2004
2005-04-06,4/6/2005
2000-10-16,10/16/2000
2003-04-06,4/6/2003
2004-04-03,4/3/2004
2004-04-06,4/6/2004
2001-04-03,4/3/2001
2002-08-25,8/25/2002
2003-12-21,12/21/2003
2002-02-02,2/2/2002
2003-07-30,7/30/2003
2003-05-25,5/25/2003
2001-07-19,7/19/2001
2002-04-01,4/1/2002
2003-07-03,7/3/2003
2004-05-25,5/25/2004
2000-10-04,10/4/2000
2003-04-18,4/18/2003
2003-09-05,9/5/2003
2003-02-06,2/6/2003
2003-10-07,10/7/2003
1995-10-27,10/27/1995
2004-10-05,10/5/2004
2001-10-11,10/11/2001
2003-04-16,4/16/2003
2001-04-06,4/6/2001
2003-01-10,1/10/2003
2002-10-09,10/9/2002
2004-05-04,5/4/2004
2001-10-05,10/5/2001
2002-09-26,9/26/2002
2004-10-02,10/2/2004
2003-10-04,10/4/2003
2005-10-04,10/4/2005
2004-11-25,11/25/2004
2005-10-04,10/4/2005
1979-01-07,1/7/1979
2004-01-09,1/9/2004
2000-10-06,10/6/2000
1996-04-06,4/6/1996
2001-01-09,1/9/2001
2001-01-08,1/8/2001
2001-04-02,4/2/2001
1999-01-03,1/3/1999
2005-07-02,7/2/2005
2003-04-07,4/7/2003
1999-11-30,11/30/1999
2003-07-02,7/2/2003
2004-01-03,1/3/2004
2002-07-04,7/4/2002
2004-10-14,10/14/2004
2003-01-09,1/9/2003
2002-06-20,6/20/2002
1991-07-25,7/25/1991
2003-06-24,6/24/2003
1978-04-04,4/4/1978
1998-04-06,4/6/1998
2000-10-21,10/21/2000
1991-05-21,5/21/1991
2002-04-04,4/4/2002
1973-01-02,1/2/1973
2005-05-21,5/21/2005
2005-07-05,7/5/2005
1991-04-09,4/9/1991
1973-10-05,10/5/1973
1989-10-25,10/25/1989
1979-09-08,9/8/1979
1988-07-25,7/25/1988
1997-07-31,7/31/1997
1994-08-05,8/5/1994
2005-09-14,9/14/2005
2000-07-26,7/26/2000
2002-12-13,12/13/2002
1998-02-25,2/25/1998
2001-10-05,10/5/2001
2005-10-14,10/14/2005
2004-02-03,2/3/2004
1989-10-11,10/11/1989
2005-01-08,1/8/2005
1999-03-02,3/2/1999
2002-09-30,9/30/2002
2002-11-11,11/11/2002
2003-10-04,10/4/2003
2004-04-04,4/4/2004
1994-10-13,10/13/1994
2000-04-04,4/4/2000
1992-01-10,1/10/1992
1994-03-13,3/13/1994
2003-04-05,4/5/2003
2004-11-04,11/4/2004
2002-03-29,3/29/2002
1979-10-10,10/10/1979
1998-07-06,7/6/1998
2004-04-06,4/6/2004
2002-10-01,10/1/2002
2005-01-05,1/5/2005
2004-10-05,10/5/2004
2003-11-01,11/1/2003
2005-04-03,4/3/2005
2004-10-03,10/3/2004
1999-10-18,10/18/1999
2003-10-03,10/3/2003
2005-01-01,1/1/2005
1999-02-07,2/7/1999
2000-02-06,2/6/2000
2001-02-04,2/4/2001
2002-02-03,2/3/2002
2005-01-10,1/10/2005
2005-10-06,10/6/2005
2006-01-07,1/7/2006
2005-03-13,3/13/2005
2005-02-25,2/25/2005
2002-12-18,12/18/2002
1999-01-07,1/7/1999
2001-11-21,11/21/2001
2003-01-22,1/22/2003
2004-05-12,5/12/2004
2005-01-08,1/8/2005
1998-04-21,4/21/1998
1997-04-25,4/25/1997
1995-12-06,12/6/1995
2001-07-21,7/21/2001
2000-01-05,1/5/2000
1997-12-12,12/12/1997
1999-08-21,8/21/1999
2000-07-15,7/15/2000
1992-10-21,10/21/1992
1998-09-23,9/23/1998
1998-01-07,1/7/1998
2005-04-21,4/21/2005
2000-07-25,7/25/2000
2002-04-20,4/20/2002
1999-10-08,10/8/1999
1996-10-25,10/25/1996
1997-05-25,5/25/1997
2002-07-26,7/26/2002
2001-04-08,4/8/2001
2004-04-13,4/13/2004
2003-11-02,11/2/2003
1995-06-01,6/1/1995
2002-10-10,10/10/2002
2005-10-04,10/4/2005
2005-03-25,3/25/2005
2005-07-07,7/7/2005
2004-11-25,11/25/2004
1992-10-10,10/10/1992
2000-06-24,6/24/2000
2003-10-13,10/13/2003
2004-08-26,8/26/2004
2000-04-14,4/14/2000
2001-07-11,7/11/2001
2005-08-06,8/6/2005
2001-07-04,7/4/2001
1998-01-09,1/9/1998
2001-12-03,12/3/2001
2005-02-20,2/20/2005
2001-04-12,4/12/2001
1992-08-25,8/25/1992
2000-11-18,11/18/2000
2005-02-05,2/5/2005
2003-04-15,4/15/2003
2005-09-14,9/14/2005
2005-07-04,7/4/2005
2005-04-08,4/8/2005
2005-07-06,7/6/2005
1999-07-17,7/17/1999
1992-07-18,7/18/1992
2004-04-07,4/7/2004
1991-11-02,11/2/1991
2002-07-02,7/2/2002
1998-09-05,9/5/1998
2003-01-05,1/5/2003
2004-05-25,5/25/2004
2005-03-05,3/5/2005
1985-07-15,7/15/1985
2002-03-29,3/29/2002
1994-03-21,3/21/1994
2003-04-03,4/3/2003
2004-09-24,9/24/2004
2005-12-11,12/11/2005
2005-07-23,7/23/2005
2004-11-20,11/20/2004
1994-06-23,6/23/1994
2004-11-20,11/20/2004
1989-07-25,7/25/1989
1994-10-17,10/17/1994
1998-02-28,2/28/1998
2004-02-27,2/27/2004
1991-06-01,6/1/1991
1997-04-02,4/2/1997
1999-08-14,8/14/1999
2004-08-21,8/21/2004
2002-10-25,10/25/2002
2004-07-04,7/4/2004
2001-01-08,1/8/2001
2002-11-28,11/28/2002
1998-04-09,4/9/1998
2005-03-16,3/16/2005
2004-12-23,12/23/2004
2002-12-21,12/21/2002
2003-12-20,12/20/2003
2001-12-22,12/22/2001
2003-11-16,11/16/2003
2004-10-05,10/5/2004
2005-04-07,4/7/2005
2005-10-23,10/23/2005
1997-04-25,4/25/1997
2000-03-04,3/4/2000
2001-03-03,3/3/2001
2002-03-02,3/2/2002
2003-03-01,3/1/2003
2004-03-06,3/6/2004
2005-03-05,3/5/2005
2006-03-04,3/4/2006
1998-07-26,7/26/1998
2002-10-01,10/1/2002
2004-03-06,3/6/2004
2005-11-03,11/3/2005
2005-07-02,7/2/2005
2005-10-03,10/3/2005
1999-04-02,4/2/1999
2005-07-07,7/7/2005
1994-08-25,8/25/1994
2005-08-28,8/28/2005
2005-10-09,10/9/2005
2005-10-06,10/6/2005
2005-04-05,4/5/2005
2005-04-04,4/4/2005
2000-04-18,4/18/2000
2004-10-06,10/6/2004
2004-06-25,6/25/2004
2001-08-18,8/18/2001
2005-01-17,1/17/2005
2003-04-08,4/8/2003
2005-01-27,1/27/2005
2005-07-15,7/15/2005
2005-06-29,6/29/2005
2005-07-04,7/4/2005
2002-06-25,6/25/2002
1996-04-20,4/20/1996
1995-10-03,10/3/1995
1985-03-09,3/9/1985
2003-10-02,10/2/2003
1987-09-28,9/28/1987
1988-10-25,10/25/1988
1973-04-01,4/1/1973
1986-12-20,12/20/1986
2005-06-24,6/24/2005
1994-07-16,7/16/1994
2005-04-02,4/2/2005
1984-04-09,4/9/1984
1999-07-23,7/23/1999
2000-07-07,7/7/2000
2001-07-04,7/4/2001
2004-10-02,10/2/2004
2005-07-02,7/2/2005
1989-07-29,7/29/1989
1986-08-02,8/2/1986
2004-04-11,4/11/2004
1995-07-29,7/29/1995
2004-04-03,4/3/2004
2005-12-22,12/22/2005
1982-03-18,3/18/1982
2005-01-10,1/10/2005
1995-03-04,3/4/1995
2003-04-05,4/5/2003
2001-05-26,5/26/2001
1988-04-16,4/16/1988
2004-04-28,4/28/2004
2004-07-07,7/7/2004
1993-12-17,12/17/1993
1997-04-01,4/1/1997
1998-07-18,7/18/1998
2002-07-02,7/2/2002
1992-03-07,3/7/1992
1993-12-05,12/5/1993
1994-03-19,3/19/1994
2004-04-05,4/5/2004
1995-04-07,4/7/1995
1996-04-05,4/5/1996
1995-07-29,7/29/1995
1998-01-21,1/21/1998
1997-04-01,4/1/1997
1992-09-25,9/25/1992
1994-09-25,9/25/1994
2003-09-18,9/18/2003
2000-08-25,8/25/2000
1989-03-11,3/11/1989
2003-04-05,4/5/2003
2004-06-30,6/30/2004
2004-06-25,6/25/2004
2003-07-17,7/17/2003
1998-04-04,4/4/1998
2001-07-24,7/24/2001
1999-03-07,3/7/1999
2000-10-02,10/2/2000
1999-10-05,10/5/1999
2001-04-12,4/12/2001
2001-04-18,4/18/2001
2000-07-19,7/19/2000
2005-12-10,12/10/2005
2003-08-07,8/7/2003
2005-12-30,12/30/2005
2000-04-08,4/8/2000
2004-10-20,10/20/2004
1994-10-07,10/7/1994
2001-03-07,3/7/2001
2004-07-17,7/17/2004
1996-07-25,7/25/1996
1999-10-13,10/13/1999
1998-10-08,10/8/1998
1993-01-25,1/25/1993
2000-06-03,6/3/2000
1993-02-25,2/25/1993
1984-03-11,3/11/1984
1996-10-01,10/1/1996
2005-12-16,12/16/2005
2006-01-01,1/1/2006
2006-01-04,1/4/2006
1988-04-16,4/16/1988
2003-10-04,10/4/2003
2001-11-05,11/5/2001
2000-09-25,9/25/2000
1998-01-05,1/5/1998
2005-10-12,10/12/2005
1995-07-15,7/15/1995
2006-01-13,1/13/2006
2006-01-13,1/13/2006
2005-12-07,12/7/2005
1986-04-07,4/7/1986
2006-01-08,1/8/2006
2005-07-01,7/1/2005
2003-10-05,10/5/2003
1999-10-06,10/6/1999
2003-12-20,12/20/2003
2001-08-25,8/25/2001
2003-06-27,6/27/2003
2002-07-20,7/20/2002
2000-10-16,10/16/2000
1994-08-25,8/25/1994
2005-04-21,4/21/2005
2001-02-21,2/21/2001
1992-05-02,5/2/1992
2004-02-01,2/1/2004
1998-04-05,4/5/1998
1999-04-07,4/7/1999
2000-01-26,1/26/2000
2006-07-01,7/1/2006
2001-12-22,12/22/2001
2005-08-05,8/5/2005
2003-03-18,3/18/2003
2002-10-05,10/5/2002
2005-07-09,7/9/2005
2004-11-30,11/30/2004
2005-07-04,7/4/2005
2002-08-23,8/23/2002
1995-07-07,7/7/1995
1993-06-05,6/5/1993
2003-04-15,4/15/2003
1991-11-22,11/22/1991
2003-10-05,10/5/2003
1998-07-09,7/9/1998
2004-05-21,5/21/2004
2002-01-10,1/10/2002
2003-01-06,1/6/2003
2003-12-19,12/19/2003
1998-10-17,10/17/1998
2004-11-13,11/13/2004
1996-05-25,5/25/1996
1999-07-07,7/7/1999
2003-08-15,8/15/2003
2001-12-14,12/14/2001
1998-04-03,4/3/1998
2004-04-02,4/2/2004
1999-04-06,4/6/1999
2004-01-08,1/8/2004
1999-02-02,2/2/1999
2005-12-18,12/18/2005
2004-09-23,9/23/2004
2005-12-23,12/23/2005
2004-01-03,1/3/2004
1997-04-02,4/2/1997
2002-03-27,3/27/2002
2004-06-30,6/30/2004
2004-04-04,4/4/2004
1995-11-01,11/1/1995
2004-05-28,5/28/2004
2002-02-03,2/3/2002
2002-10-06,10/6/2002
2003-11-28,11/28/2003
2004-07-07,7/7/2004
2005-08-28,8/28/2005
2005-10-05,10/5/2005
2001-12-25,12/25/2001
2000-06-23,6/23/2000
1997-11-24,11/24/1997
2005-03-19,3/19/2005
2000-05-25,5/25/2000
1993-11-19,11/19/1993
2006-01-12,1/12/2006
2005-04-02,4/2/2005
2004-12-22,12/22/2004
2005-10-11,10/11/2005
2006-01-06,1/6/2006
2005-01-28,1/28/2005
2001-08-10,8/10/2001
2000-06-23,6/23/2000
1998-04-08,4/8/1998
1998-07-03,7/3/1998
1996-09-21,9/21/1996
2004-01-23,1/23/2004
2001-10-04,10/4/2001
2002-03-25,3/25/2002
2003-03-06,3/6/2003
2004-10-02,10/2/2004
2006-01-26,1/26/2006
2002-04-06,4/6/2002
2004-10-03,10/3/2004
2005-04-22,4/22/2005
1997-10-06,10/6/1997
1989-10-16,10/16/1989
1998-03-27,3/27/1998
2004-01-12,1/12/2004
2005-10-02,10/2/2005
2001-12-25,12/25/2001
1995-04-02,4/2/1995
2003-05-03,5/3/2003
2004-08-21,8/21/2004
2005-04-04,4/4/2005
2003-01-13,1/13/2003
2002-01-05,1/5/2002
2003-10-16,10/16/2003
2006-02-03,2/3/2006
1977-08-06,8/6/1977
2005-04-10,4/10/2005
2005-02-05,2/5/2005
1985-10-20,10/20/1985
1998-04-21,4/21/1998
1998-11-30,11/30/1998
1992-08-01,8/1/1992
2002-08-16,8/16/2002
1997-11-01,11/1/1997
1992-04-25,4/25/1992
2004-04-23,4/23/2004
2000-02-14,2/14/2000
1991-01-12,1/12/1991
1987-03-29,3/29/1987
1994-04-01,4/1/1994
2003-12-01,12/1/2003
1985-12-21,12/21/1985
1994-08-12,8/12/1994
2001-03-03,3/3/2001
1995-07-14,7/14/1995
2005-04-03,4/3/2005
1993-03-06,3/6/1993
2004-12-20,12/20/2004
1993-05-05,5/5/1993
1999-10-08,10/8/1999
2005-11-23,11/23/2005
2005-03-31,3/31/2005
2003-09-26,9/26/2003
2004-10-02,10/2/2004
2006-02-02,2/2/2006
2002-10-02,10/2/2002
1994-07-21,7/21/1994
2003-05-25,5/25/2003
2005-05-22,5/22/2005
1994-12-15,12/15/1994
2005-02-25,2/25/2005
2000-07-22,7/22/2000
2003-04-19,4/19/2003
2003-11-08,11/8/2003
2005-03-30,3/30/2005
2003-05-24,5/24/2003
2004-12-18,12/18/2004
1999-09-04,9/4/1999
2001-01-06,1/6/2001
2004-07-16,7/16/2004
2004-07-01,7/1/2004
1991-03-21,3/21/1991
1996-04-10,4/10/1996
2005-12-10,12/10/2005
2006-01-22,1/22/2006
1999-06-25,6/25/1999
2003-01-09,1/9/2003
2006-02-10,2/10/2006
1997-04-19,4/19/1997
1998-04-18,4/18/1998
1999-04-17,4/17/1999
1998-10-04,10/4/1998
2000-02-05,2/5/2000
1991-09-27,9/27/1991
2004-04-12,4/12/2004
2003-06-25,6/25/2003
2006-03-03,3/3/2006
2006-02-25,2/25/2006
1986-03-15,3/15/1986
1992-08-01,8/1/1992
2005-08-20,8/20/2005
1991-07-14,7/14/1991
1996-04-20,4/20/1996
2001-09-19,9/19/2001
2006-01-09,1/9/2006
2001-10-12,10/12/2001
2000-04-26,4/26/2000
2004-01-01,1/1/2004
2005-08-20,8/20/2005
1996-12-21,12/21/1996
1998-04-06,4/6/1998
2005-12-09,12/9/2005
2001-01-09,1/9/2001
1989-04-26,4/26/1989
2005-01-29,1/29/2005
2005-01-29,1/29/2005
1999-07-05,7/5/1999
2006-01-08,1/8/2006
1997-05-21,5/21/1997
2005-05-18,5/18/2005
1988-01-08,1/8/1988
2002-05-15,5/15/2002
2001-03-22,3/22/2001
2001-06-25,6/25/2001
2003-05-23,5/23/2003
2005-12-02,12/2/2005
2004-04-09,4/9/2004
2001-03-21,3/21/2001
2004-01-22,1/22/2004
2001-10-02,10/2/2001
2000-04-04,4/4/2000
2002-10-07,10/7/2002
2006-03-23,3/23/2006
2002-10-04,10/4/2002
2001-04-04,4/4/2001
2006-03-24,3/24/2006
2003-07-07,7/7/2003
1999-06-25,6/25/1999
2003-04-05,4/5/2003
1999-09-06,9/6/1999
1992-09-11,9/11/1992
2004-08-07,8/7/2004
2006-04-02,4/2/2006
2006-04-03,4/3/2006
2006-02-22,2/22/2006
2006-04-03,4/3/2006
2006-04-01,4/1/2006
1992-12-11,12/11/1992
1995-09-10,9/10/1995
2006-04-05,4/5/2006
2006-04-02,4/2/2006
2006-04-04,4/4/2006
2006-04-04,4/4/2006
2006-04-05,4/5/2006
2005-10-04,10/4/2005
2006-04-02,4/2/2006
2006-04-05,4/5/2006
2006-04-07,4/7/2006
2006-04-04,4/4/2006
2004-03-01,3/1/2004
1987-02-07,2/7/1987
2001-12-22,12/22/2001
1998-08-01,8/1/1998
1997-08-02,8/2/1997
1996-08-03,8/3/1996
1993-03-26,3/26/1993
2004-04-09,4/9/2004
2006-04-06,4/6/2006
2001-04-01,4/1/2001
2004-08-07,8/7/2004
1995-04-10,4/10/1995
2006-04-05,4/5/2006
2006-04-06,4/6/2006
2006-04-03,4/3/2006
2006-04-07,4/7/2006
2002-12-20,12/20/2002
1993-07-10,7/10/1993
1994-04-09,4/9/1994
2004-12-04,12/4/2004
1985-12-22,12/22/1985
2006-01-04,1/4/2006
2002-05-25,5/25/2002
2000-01-20,1/20/2000
2006-04-09,4/9/2006
1997-02-01,2/1/1997
1987-07-18,7/18/1987
1988-07-09,7/9/1988
1996-03-02,3/2/1996
1989-07-15,7/15/1989
1990-03-10,3/10/1990
1990-07-07,7/7/1990
1991-03-09,3/9/1991
1991-07-20,7/20/1991
1992-03-07,3/7/1992
1992-07-11,7/11/1992
1993-03-06,3/6/1993
1993-07-10,7/10/1993
1994-03-12,3/12/1994
1994-07-09,7/9/1994
1995-03-04,3/4/1995
1995-07-15,7/15/1995
2006-04-06,4/6/2006
2006-03-29,3/29/2006
2001-04-05,4/5/2001
2006-04-09,4/9/2006
2005-08-06,8/6/2005
1995-01-14,1/14/1995
2005-10-10,10/10/2005
1995-04-06,4/6/1995
2005-11-03,11/3/2005
2006-04-16,4/16/2006
1989-02-22,2/22/1989
2006-04-04,4/4/2006
2006-04-05,4/5/2006
2003-06-06,6/6/2003
2004-09-10,9/10/2004
1988-04-12,4/12/1988
1987-07-03,7/3/1987
1989-03-14,3/14/1989
2004-01-09,1/9/2004
2005-01-08,1/8/2005
1983-02-05,2/5/1983
1980-05-08,5/8/1980
2004-09-30,9/30/2004
2006-03-20,3/20/2006
2006-04-05,4/5/2006
2006-04-06,4/6/2006
2005-08-06,8/6/2005
1988-04-21,4/21/1988
2000-12-21,12/21/2000
2006-04-06,4/6/2006
2006-04-04,4/4/2006
2006-04-08,4/8/2006
2006-04-09,4/9/2006
2006-04-14,4/14/2006
1988-10-07,10/7/1988
2005-10-25,10/25/2005
1990-01-07,1/7/1990
2001-07-05,7/5/2001
2006-04-14,4/14/2006
1976-04-01,4/1/1976
2006-04-08,4/8/2006
2002-10-02,10/2/2002
2001-04-11,4/11/2001
2005-01-30,1/30/2005
1995-10-09,10/9/1995
2006-04-03,4/3/2006
2000-09-27,9/27/2000
2004-03-09,3/9/2004
2006-04-02,4/2/2006
1992-04-13,4/13/1992
1984-10-04,10/4/1984
2006-04-02,4/2/2006
2006-04-29,4/29/2006
1991-10-18,10/18/1991
2003-04-06,4/6/2003
2002-05-25,5/25/2002
2006-04-04,4/4/2006
2004-01-16,1/16/2004
1998-05-21,5/21/1998
2002-12-18,12/18/2002
1996-12-18,12/18/1996
1998-08-25,8/25/1998
1999-12-22,12/22/1999
2002-07-04,7/4/2002
2005-06-20,6/20/2005
2002-05-25,5/25/2002
2004-07-03,7/3/2004
1993-07-23,7/23/1993
1993-02-24,2/24/1993
1990-10-17,10/17/1990
1997-03-26,3/26/1997
2005-05-07,5/7/2005
2005-01-29,1/29/2005
2006-05-18,5/18/2006
2001-11-09,11/9/2001
1999-04-08,4/8/1999
1999-12-22,12/22/1999
2006-03-24,3/24/2006
2006-03-24,3/24/2006
1996-03-09,3/9/1996
1994-12-04,12/4/1994
1994-10-05,10/5/1994
1996-07-24,7/24/1996
1978-03-14,3/14/1978
2006-04-26,4/26/2006
2004-10-03,10/3/2004
2005-04-01,4/1/2005
2002-04-19,4/19/2002
2001-04-03,4/3/2001
1996-04-20,4/20/1996
1993-10-21,10/21/1993
1994-12-16,12/16/1994
1993-12-23,12/23/1993
1994-08-20,8/20/1994
1995-09-21,9/21/1995
1998-04-02,4/2/1998
2006-07-02,7/2/2006
2003-08-21,8/21/2003
2006-05-26,5/26/2006
1993-06-21,6/21/1993
1998-10-03,10/3/1998
1999-10-02,10/2/1999
2002-01-07,1/7/2002
2004-07-28,7/28/2004
1999-04-20,4/20/1999
1998-10-07,10/7/1998
2004-01-23,1/23/2004
1999-11-25,11/25/1999
1999-07-08,7/8/1999
1997-10-25,10/25/1997
1998-05-25,5/25/1998
2001-07-21,7/21/2001
1991-07-20,7/20/1991
1994-06-13,6/13/1994
2006-04-08,4/8/2006
1990-03-21,3/21/1990
2002-09-14,9/14/2002
1987-03-14,3/14/1987
2005-06-06,6/6/2005
1998-12-19,12/19/1998
2003-05-08,5/8/2003
2002-08-23,8/23/2002
2003-04-25,4/25/2003
1996-04-04,4/4/1996
1992-07-29,7/29/1992
1996-12-04,12/4/1996
1992-10-21,10/21/1992
1968-07-21,7/21/1968
1996-10-04,10/4/1996
1997-10-02,10/2/1997
1995-06-29,6/29/1995
2001-04-04,4/4/2001
1982-01-23,1/23/1982
2003-11-08,11/8/2003
1998-10-25,10/25/1998
1999-07-23,7/23/1999
2004-02-24,2/24/2004
2003-10-24,10/24/2003
2001-08-02,8/2/2001
1999-10-05,10/5/1999
2003-11-19,11/19/2003
1996-05-21,5/21/1996
1999-08-01,8/1/1999
1999-07-09,7/9/1999
2001-09-25,9/25/2001
1985-03-24,3/24/1985
2006-01-25,1/25/2006
2006-05-19,5/19/2006
1976-04-17,4/17/1976
1977-06-04,6/4/1977
2006-04-05,4/5/2006
2006-03-29,3/29/2006
2002-03-02,3/2/2002
2005-12-22,12/22/2005
2004-11-24,11/24/2004
1991-02-21,2/21/1991
2000-07-15,7/15/2000
1995-02-25,2/25/1995
2002-08-25,8/25/2002
2002-12-21,12/21/2002
2004-01-16,1/16/2004
2003-04-05,4/5/2003
2002-12-09,12/9/2002
2004-03-25,3/25/2004
2004-04-01,4/1/2004
1987-04-06,4/6/1987
1982-10-03,10/3/1982
1984-07-07,7/7/1984
1981-03-14,3/14/1981
1981-07-11,7/11/1981
1982-03-13,3/13/1982
1988-10-17,10/17/1988
2000-12-20,12/20/2000
1989-07-15,7/15/1989
1993-08-07,8/7/1993
2003-01-04,1/4/2003
